sim,sourceX,sourceY,targetX,targetY
0.7322,2010-2014,1046,2011-2015,1046
0.7324,2010-2014,221,2011-2015,221
0.733,2011-2015,1046,2012-2016,1046
0.7338,2010-2014,161,2011-2015,161
0.7359,2010-2014,965,2011-2015,965
0.7362,2010-2014,581,2011-2015,581
0.7362,2011-2015,1199,2012-2016,1199
0.7373,2011-2015,142,2012-2016,142
0.7387,2010-2014,710,2011-2015,710
0.7389,2012-2016,353,2013-2017,353
0.7398,2010-2014,1199,2011-2015,1199
0.741,2012-2016,710,2013-2017,710
0.7415,2010-2014,254,2011-2015,254
0.7416,2010-2014,60,2011-2015,60
0.7422,2010-2014,1095,2011-2015,1095
0.7429,2011-2015,107,2012-2016,107
0.7431,2012-2016,221,2013-2017,221
0.7437,2010-2014,1142,2011-2015,1142
0.7441,2011-2015,1460,2012-2016,1460
0.7443,2012-2016,1095,2013-2017,1095
0.7447,2012-2016,727,2013-2017,727
0.7452,2010-2014,261,2011-2015,261
0.7454,2010-2014,353,2011-2015,353
0.7476,2011-2015,710,2012-2016,710
0.7476,2012-2016,1046,2013-2017,1046
0.7477,2010-2014,469,2011-2015,469
0.7484,2012-2016,161,2013-2017,161
0.7484,2011-2015,921,2012-2016,921
0.7491,2011-2015,261,2012-2016,261
0.7519,2010-2014,727,2011-2015,727
0.754,2010-2014,461,2011-2015,461
0.7543,2012-2016,814,2013-2017,814
0.7555,2011-2015,469,2012-2016,469
0.7561,2012-2016,2,2013-2017,2
0.758,2011-2015,353,2012-2016,353
0.7581,2011-2015,2,2012-2016,2
0.7581,2012-2016,254,2013-2017,254
0.7593,2012-2016,1290,2013-2017,1290
0.7599,2010-2014,142,2011-2015,142
0.7601,2012-2016,461,2013-2017,461
0.7601,2012-2016,921,2013-2017,921
0.7606,2011-2015,254,2012-2016,254
0.7614,2011-2015,867,2012-2016,867
0.7623,2012-2016,469,2013-2017,469
0.7632,2012-2016,60,2013-2017,60
0.7634,2011-2015,814,2012-2016,814
0.7637,2012-2016,867,2013-2017,867
0.7639,2011-2015,461,2012-2016,461
0.7647,2012-2016,965,2013-2017,965
0.7649,2011-2015,221,2012-2016,221
0.7662,2012-2016,1460,2013-2017,1460
0.7671,2011-2015,965,2012-2016,965
0.7671,2012-2016,1199,2013-2017,1199
0.7698,2012-2016,581,2013-2017,581
0.7708,2010-2014,867,2011-2015,867
0.773,2012-2016,648,2013-2017,648
0.7759,2011-2015,161,2012-2016,161
0.7762,2011-2015,60,2012-2016,60
0.7766,2011-2015,1142,2012-2016,1142
0.7776,2010-2014,814,2011-2015,814
0.7821,2011-2015,581,2012-2016,581
0.7858,2012-2016,142,2013-2017,142
0.7873,2012-2016,1142,2013-2017,1142
0.7899,2012-2016,261,2013-2017,261
0.8365,2013-2017,1142,2014-2018,1142
0.8412,2013-2017,965,2014-2018,965
0.8417,2013-2017,469,2014-2018,469
0.848,2013-2017,142,2014-2018,142
0.8663,2013-2017,814,2014-2018,814
0.8664,2013-2017,261,2014-2018,261
0.8684,2013-2017,254,2014-2018,254
0.8714,2013-2017,867,2014-2018,867
0.8746,2013-2017,727,2014-2018,727
0.875,2013-2017,648,2014-2018,648
0.8764,2013-2017,710,2014-2018,710
0.8779,2013-2017,2276,2014-2018,2276
